"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Ituri","Mambasa Hospital",0,29.0353,1.3651
"2","Nord Kivu","Beni Hospital",0,29.4653,0.4939
"3","Nord Kivu","Mabalako Hospital",0,29.314,0.6064
"4","Nord Kivu","Kalunguta Hospital",0.0276435907095027,29.444,0.4881
"5","Nord Kivu","Oicha Hospital",0.049471620152844,29.5027,0.7028
"6","Ituri","Bunia Hospital",0.666856851561316,30.2515,1.5623
"7","Nord Kivu","Mutwanga Hospital",0.856838396034444,29.7427,0.3383
"8","Nord Kivu","Katwa Hospital",0.952796773272804,29.3706,0.1164
"9","Nord Kivu","Musienene Hospital",0.955217537446479,29.2478,0.017
"10","Nord Kivu","Butembo Hospital",0.972837414179545,29.2227,0.118
"11","Nord Kivu","Vuhovi Hospital",1.02973576654104,29.4062,0.1426
"12","Ituri","Bambu Hospital",1.33290736713243,30.2446,1.8029
"13","Nord Kivu","Lubero Hospital",1.35350064525193,29.2301,-0.1537
"14","Nord Kivu","Kyondo Hospital",1.4840712468413,29.3991,4e-04
"15","Nord Kivu","Masereka Hospital",1.69256487444794,29.3143,-0.1392
"16","Ituri","Boga Hospital",1.73145418152349,29.9556,1.0299
"17","Nord Kivu","Biena Hospital",1.91746615695329,28.8865,0.3208
"18","Ituri","Drodro Hospital",1.96933259938732,30.5326,1.7696
"19","Nord Kivu","Alimbongo Hospital",1.98060022419669,29.1831,-0.3633
"20","Nord Kivu","Manguredjipa Hospital",2.30332066844774,28.7655,0.3534
