"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Western","Bwera Hospital",2.56388928169663,29.761,0.036
"2","Western","Kagando Hospital",3.05320012531436,29.891,0.025
"3","Western","Kilembe Hospital",3.81851470041858,30.01,0.205
"4","Western","Kabarole COU Hospital",4.39461488849077,30.269,0.651
"5","Western","Fort Portal Regional Referral Hospital",4.41316693667948,30.2766,0.6577
"6","Western","Virika Hospital",4.45986636124789,30.2783,0.6332
"7","Western","Bundibugyo Hospital",4.51252974388187,30.25,0.8333
"8","Western","Ishaka Adventist Hospital",4.55923498127183,30.1386,-0.543
"9","Western","Comboni Hospital",4.67814718062982,30.1891,-0.5407
"10","Western","Kitagata Hospital",4.94108022607488,30.1525,-0.6735
"11","Western","Kyenjojo Hospital",5.29408276635823,30.623,0.639
"12","Northern","Nyapea Hospital",5.38296651698392,30.943,2.475
"13","Northern","Angal Hospital",5.47818039959644,31.172,2.395
"14","Northern","Nebbi Hospital",5.6133352129538,31.086,2.48
"15","Western","Ruharo Mission Hospital",5.74499422830236,30.63,-0.613
"16","Western","Ibanda Hospital",5.8326364263332,30.5319,-0.1539
"17","Western","Mbarara Regional Referral Hospital",5.84639091292479,30.67,-0.6077
"18","Western","Itojo Hospital",5.89158186582952,30.293,-0.803
"19","Western","Kisoro Hospital",5.91732843424242,29.684,-1.277
"20","Western","Nyakibale Hospital",6.0730369923084,29.926,-0.804
